45,359,6185,102,421,123,5676,368,945,909,604,31,7736,766,824,8623,788,781,118,1946,135,169,577,369,9342
11.38,86.01,278.51,12.77,39.11,11.44,14.99,18.43,207.58,52.77,63.81,33.44,7.72,411.82,293.6,28.39,745.278685,233.89,271.56,259.11,12.36,214.21,385.2,45.34,636.48
293.93,33.44,240.44,11.49,220.66,26.57,750.9,26.19,336.24,140.7,540.19,318.1919743,328.21,6.44,529.11,411.82,63.53,325.56,214.93,135.2652427,32.04,696.39,10.53,13.99,731.11
155.3457121,6.73,6.44,311.2965408,5.09,20.03,63.81,249.23,475.46,10.37,14.08,424.1973941,49.98,688.74,7.09,16.66,11.44,475.46,451.64,537.77,542.3,475.46,52.47346448,195.33,688.74
213.5,6.25,76.51244504,213.5,7.85,11.15,226.22,542.3,311.2965408,348.88,9.62,540.19,6.31,7.2,540.19,111.8949727,24.01,207.38,348.88,608.87,268.25,7.58,484.36,45.53,233.43
395.74,12.36,34.35,405.26,63.53,695.67,658.86,268.25,20.03,695.67,637.46,6.25,406.47,214.93,725.7933279,8.39,11.47,6.73,6.73,562.06,345.3800939,12.77,637.46,311.2965408,45.34
11.49,561.86,92.38,195.33,10.32,325.42,17.57,7.58,750.9,326.54,45.97,554.41,385.2,658.86,552.26,13.99,293.6,33.44,26.57,179.53,7.2,7.08,10.32,419.51,10.32
12.19,660.0,15.85,10.58,6.25,9.21,13.25,17.57,83.28491341,634.35,529.11,552.26,750.9,215.93,424.1973941,19.3,160.6199195,540.19,2.740952014,180.26,233.43,6.68,279.69,11.38,11.38
543.75,16.66,31.24,214.93,179.12,37.09,395.74,179.53,390.2707837,207.38,86.01,16.66,250.28,322.6997586,326.54,9.71,390.2707837,179.53,658.86,8.39,201.63,213.5,318.1919743,695.67,382.45
659.36,484.36,44.1,37.09,398.5758253,278.51,385.2,731.11,26.57,16.13,697.4,546.79,395.74,207.58,140.7,10.53,293.93,207.58,17.57,151.3841761,118.34,160.6199195,63.53,151.3841761,220.57
636.48,419.51,118.34,382.45,7.08,733.7295218,328.45,9.21,543.75,16.69,213.5,766.85,452.8,325.56,52.77,11.44,220.57,419.51,226.25,200.7545831,213.5,226.22,11.49,13.55,29.81
45.97,215.37,14.78,215.37,45.97,215.37,215.37,215.37,215.37,45.97,215.37,14.78,215.37,45.97,45.97,904.29,215.37,215.37,215.37,45.97,45.97,45.97,215.37,215.37,215.37
14.78,45.97,490.06,140.7,14.78,14.78,45.97,45.97,6.31,14.78,14.78,215.37,14.78,215.37,14.78,215.37,14.78,44.1,140.7,6.31,215.37,215.37,45.97,14.78,45.97
215.37,14.78,215.37,490.06,215.37,215.93,140.7,14.78,14.78,215.37,490.06,45.97,45.97,44.1,215.37,325.42,45.97,45.97,14.78,215.37,44.1,140.7,14.78,45.97,14.78
16.34,44.1,45.97,45.97,490.06,44.1,6.31,140.7,140.7,16.34,44.1,44.1,140.7,14.78,16.34,45.97,140.7,14.78,45.97,14.08,14.78,17.89,140.7,44.1,215.93
37.09,207.58,215.93,14.78,44.1,490.06,14.78,195.33,45.97,215.93,37.09,16.34,215.93,37.09,215.93,44.1,16.34,6.31,215.93,140.7,490.06,14.78,215.93,490.06,44.1
215.93,490.06,634.35,44.1,16.34,16.34,215.93,490.06,179.53,37.09,6.31,215.93,16.34,16.34,37.09,490.06,215.93,16.34,6.31,37.09,16.34,490.06,490.06,16.34,37.09
490.06,16.34,179.53,634.35,634.35,195.33,44.1,44.1,16.34,44.1,634.35,37.09,37.09,6.31,44.1,14.78,17.89,490.06,44.1,14.78,37.09,37.09,37.09,215.93,16.34
44.1,37.09,41.89833748,16.34,37.09,634.35,37.09,16.34,44.1,325.42,16.34,490.06,44.1,140.7,179.12,83.28491341,44.1,37.09,16.34,215.93,634.35,44.1,44.1,634.35,41.89833748
634.35,634.35,16.34,6.31,688.74,45.97,490.06,37.09,490.06,490.06,215.93,140.7,490.06,325.42,490.06,634.35,490.06,140.7,490.06,44.1,6.31,215.93,16.34,37.09,490.06
6.31,195.33,26.19,688.74,195.33,6.31,325.42,634.35,7.67,688.74,140.7,179.12,179.12,15.85,6.31,16.34,37.09,634.35,195.33,490.06,17.89,16.34,325.42,688.74,6.31
15.85,140.7,688.74,215.93,325.42,213.5,16.34,213.5,37.09,15.85,688.74,7.96,15.85,490.06,15.85,37.09,195.33,7.67,7.67,7.67,688.74,325.42,634.35,213.5,634.35
12.77,688.74,207.58,15.85,15.85,688.74,7.67,325.42,215.93,195.33,325.42,6.31,325.42,12.19,634.35,688.74,634.35,325.42,634.35,16.34,215.93,634.35,195.33,140.7,140.7
195.33,325.42,37.09,725.7933279,725.7933279,248.62,634.35,688.74,634.35,725.7933279,7.67,634.35,634.35,12.77,12.77,215.93,12.77,688.74,37.09,634.35,140.7,6.31,6.31,12.19,195.33
688.74,248.62,218.67,7.67,140.7,140.7,12.19,215.93,12.19,12.77,15.85,41.89833748,12.77,248.62,7.67,248.62,325.42,215.93,325.42,45.53,725.7933279,195.33,15.85,325.42,15.85
7.67,215.93,140.7,788.8326479,213.5,12.77,15.85,725.7933279,12.77,248.62,725.7933279,15.85,7.67,7.67,12.19,140.7,688.74,12.77,12.19,12.19,207.58,688.74,688.74,725.7933279,725.7933279
325.42,725.7933279,248.62,325.42,7.96,725.7933279,195.33,15.85,688.74,6.31,12.77,12.19,12.19,634.35,688.74,725.7933279,6.31,12.19,688.74,688.74,12.77,15.85,12.19,6.31,325.42
17.96,15.85,725.7933279,17.96,788.8326479,7.67,45.53,12.19,195.33,213.5,788.8326479,688.74,195.33,195.33,195.33,41.89833748,213.5,725.7933279,12.77,26.19,15.85,45.53,12.77,12.77,12.77
725.7933279,12.19,636.48,12.19,12.77,788.8326479,688.74,248.62,26.19,788.8326479,12.19,12.77,688.74,45.53,17.96,15.85,15.85,26.19,213.5,15.85,788.8326479,12.19,213.5,15.85,12.19
140.7,12.77,6.31,179.12,248.62,12.19,26.19,12.77,16.94,17.96,41.89833748,325.42,17.96,179.53,325.42,311.2965408,12.19,15.85,26.19,325.42,7.67,248.62,725.7933279,788.8326479,7.67
179.12,6.31,179.12,804.11,215.93,268.25,248.62,788.8326479,325.42,12.19,26.19,45.53,213.5,725.7933279,788.8326479,179.53,725.7933279,788.8326479,725.7933279,725.7933279,179.53,725.7933279,45.53,179.12,17.96
788.8326479,788.8326479,788.8326479,16.94,12.19,16.94,179.12,6.31,725.7933279,16.94,17.96,7.67,45.53,7.96,45.53,12.19,179.12,41.89833748,179.53,17.96,195.33,179.12,7.67,16.94,213.5
16.94,45.53,12.77,45.53,804.11,26.19,725.7933279,45.53,15.85,268.25,16.94,725.7933279,725.7933279,17.96,16.94,788.8326479,16.94,17.96,16.94,195.33,12.19,7.67,248.62,7.67,788.8326479
26.19,804.11,325.42,207.58,45.53,804.11,17.96,41.89833748,9.71,804.11,179.12,195.33,16.94,788.8326479,26.19,6.31,788.8326479,9.71,248.62,788.8326479,804.11,16.94,788.8326479,804.11,804.11
45.53,7.67,804.11,26.19,268.25,179.12,788.8326479,804.11,248.62,179.53,804.11,248.62,26.19,268.25,213.5,195.33,248.62,248.62,179.12,213.5,218.67,788.8326479,41.89833748,17.96,45.53
7.96,268.25,12.19,839.28,839.28,15.85,179.53,16.94,788.8326479,45.53,248.62,16.94,788.8326479,213.5,804.11,12.77,17.96,16.94,788.8326479,9.71,41.89833748,17.96,16.94,41.89833748,16.94
297.95,213.5,226.25,248.62,852.33,839.28,12.77,839.28,213.5,839.28,45.53,788.8326479,297.95,218.67,7.96,218.67,7.67,195.33,15.85,12.77,839.28,26.19,179.53,179.53,179.53
804.11,17.96,45.53,8.39,179.53,311.2965408,213.5,17.96,45.53,8.39,179.53,26.19,207.58,26.19,41.89833748,554.41,804.11,804.11,218.67,248.62,7.96,268.25,17.96,839.28,248.62
207.58,839.28,839.28,179.53,16.94,207.58,19.06,179.12,17.89,311.2965408,839.28,213.5,7.96,16.94,248.62,804.11,179.53,268.25,41.89833748,804.11,45.53,179.53,804.11,19.06,311.2965408
179.53,16.94,195.33,17.89,207.58,9.71,804.11,7.67,804.11,41.89833748,9.71,17.89,804.11,804.11,839.28,17.96,268.25,45.53,804.11,218.67,580.44,804.11,839.28,8.39,218.67
839.28,17.89,7.67,218.67,17.96,852.33,268.25,311.2965408,6.44,218.67,19.06,179.53,179.53,41.89833748,179.53,839.28,26.19,218.67,17.89,179.12,19.06,8.39,218.67,852.33,179.12
19.06,26.19,16.94,852.33,311.2965408,8.39,218.67,218.67,179.12,7.67,852.33,804.11,248.62,311.2965408,19.06,7.67,218.67,179.12,207.58,31.24,248.62,9.71,268.25,824.47,839.28
248.62,852.33,11.47,9.71,218.67,17.89,31.24,852.33,839.28,852.33,8.39,207.58,839.28,345.3800939,218.67,207.58,45.53,839.28,311.2965408,41.89833748,179.12,207.58,31.24,248.62,207.58
8.39,8.39,297.95,297.95,293.93,824.47,839.28,554.41,8.39,207.58,195.33,17.96,8.39,31.24,17.89,31.24,839.28,31.24,9.71,268.25,26.19,297.95,17.89,207.58,31.24
9.71,179.12,766.85,19.06,41.89833748,226.25,16.94,8.39,218.67,17.89,218.67,839.28,9.71,554.41,8.39,16.94,41.89833748,213.5,31.24,839.28,852.33,226.25,207.58,26.19,852.33
17.89,179.53,852.33,226.25,554.41,179.53,311.2965408,17.89,268.25,824.47,824.47,8.39,19.06,19.06,852.33,226.25,8.39,7.96,839.28,16.94,31.24,839.28,852.33,17.89,580.44
411.82,19.06,17.96,7.96,14.78,554.41,41.89833748,345.3800939,7.96,179.12,17.89,268.25,852.33,839.28,268.25,697.4,852.33,852.33,11.47,19.06,16.94,19.06,311.2965408,268.25,8.39
852.33,824.47,19.06,824.47,824.47,7.96,9.71,31.24,7.72,26.19,6.44,852.33,218.67,17.89,824.47,45.53,311.2965408,6.44,63.81,207.58,311.2965408,41.89833748,11.47,218.67,26.19
824.47,904.29,311.2965408,19.3,580.44,45.53,852.33,411.82,41.89833748,580.44,19.3,9.71,268.25,9.71,207.58,345.3800939,207.58,11.47,8.39,11.47,824.47,218.67,179.12,904.29,824.47
6.44,9.71,18.25,41.89833748,19.06,6.44,17.89,824.47,852.33,7.96,207.58,311.2965408,17.89,8.39,9.71,852.33,14.78,17.89,852.33,852.33,8.39,7.96,26.19,31.24,17.89
268.25,546.79,637.46,6.44,17.89,41.89833748,824.47,9.71,19.06,19.06,7.96,19.06,41.89833748,179.12,63.81,179.12,31.24,824.47,45.53,18.25,17.96,31.24,8.39,14.99,19.06
