,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185,seed_102,seed_102,seed_421,seed_421,seed_123,seed_123,seed_5676,seed_5676,seed_368,seed_368,seed_945,seed_945,seed_909,seed_909,seed_604,seed_604,seed_31,seed_31,seed_7736,seed_7736,seed_766,seed_766,seed_824,seed_824,seed_8623,seed_8623,seed_788,seed_788,seed_781,seed_781,seed_118,seed_118,seed_1946,seed_1946,seed_135,seed_135,seed_169,seed_169,seed_577,seed_577,seed_369,seed_369,seed_9342,seed_9342,seed_980,seed_980,seed_310,seed_310,seed_690,seed_690,seed_288,seed_288,seed_715,seed_715,seed_2672,seed_2672,seed_184,seed_184,seed_148,seed_148,seed_262,seed_262,seed_931,seed_931,seed_404,seed_404,seed_849,seed_849,seed_177,seed_177,seed_340,seed_340,seed_8,seed_8,seed_3794,seed_3794,seed_759,seed_759,seed_245,seed_245,seed_412,seed_412,seed_479,seed_479,seed_764,seed_764,seed_753,seed_753,seed_882,seed_882,seed_362,seed_362,seed_4143,seed_4143
,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,0.0,72,0.619629,52,0.225159,98,0.0,54,0.0,72,0.619629,6,0.521209,65,0.557771,4,0.444846,0,0.13848,90,0.581536,64,0.427846,97,0.394429,83,0.085345,1,0.55386,46,0.0,68,0.553297,51,0.246653,45,0.456972,53,0.0,7,0.0,99,0.0,67,0.558344,46,0.0,7,0.0,65,0.557771,94,0.0,3,0.529015,6,0.521209,8,0.0,47,0.0,68,0.553297,70,0.231671,9,0.142527,98,0.0,44,0.595148,1,0.55386,79,0.0,78,0.590437,54,0.0,51,0.246653,4,0.444846,1,0.55386,6,0.521209,84,0.397736,78,0.590437,78,0.590437,12,0.0,83,0.085345,7,0.0
1,90,0.581536,10,0.368919,44,0.595148,84,0.397736,49,0.368797,68,0.553297,79,0.0,49,0.368797,48,0.276438,8,0.0,77,0.606331,9,0.142527,78,0.590437,55,0.420117,64,0.427846,55,0.420117,93,0.0,49,0.368797,80,0.47378,70,0.231671,52,0.225159,46,0.0,98,0.0,81,0.544579,46,0.0,93,0.0,61,0.0,70,0.231671,78,0.590437,84,0.397736,64,0.427846,85,0.0,48,0.276438,68,0.553297,61,0.0,85,0.0,3,0.529015,2,0.23795,44,0.595148,6,0.521209,48,0.276438,80,0.47378,2,0.23795,9,0.142527,53,0.0,68,0.553297,46,0.0,83,0.085345,44,0.595148,61,0.0
2,52,0.225159,77,0.606331,70,0.231671,47,0.0,85,0.0,0,0.13848,0,0.13848,1,0.55386,10,0.368919,78,0.590437,9,0.142527,2,0.23795,70,0.231671,90,0.581536,93,0.0,67,0.558344,51,0.246653,66,0.0,93,0.0,81,0.544579,93,0.0,7,0.0,1,0.55386,97,0.394429,90,0.581536,48,0.276438,68,0.553297,97,0.394429,10,0.368919,67,0.558344,9,0.142527,49,0.368797,81,0.544579,72,0.619629,77,0.606331,90,0.581536,70,0.231671,45,0.456972,80,0.47378,79,0.0,85,0.0,97,0.394429,45,0.456972,83,0.085345,0,0.13848,82,0.05735,79,0.0,6,0.521209,94,0.0,65,0.557771
3,47,0.0,5,0.506045,0,0.13848,64,0.427846,6,0.521209,47,0.0,50,0.0,78,0.590437,70,0.231671,83,0.085345,12,0.0,66,0.0,7,0.0,70,0.231671,66,0.0,81,0.544579,99,0.0,98,0.0,82,0.05735,94,0.0,94,0.0,66,0.0,89,0.528122,11,0.339554,9,0.142527,47,0.0,72,0.619629,67,0.558344,80,0.47378,9,0.142527,51,0.246653,93,0.0,67,0.558344,6,0.521209,97,0.394429,89,0.528122,6,0.521209,85,0.0,11,0.339554,78,0.590437,99,0.0,68,0.553297,98,0.0,84,0.397736,50,0.0,65,0.557771,48,0.276438,45,0.456972,45,0.456972,67,0.558344
4,87,0.218576,97,0.394429,10,0.368919,55,0.420117,83,0.085345,55,0.420117,64,0.427846,87,0.218576,68,0.553297,89,0.528122,67,0.558344,3,0.529015,53,0.0,2,0.23795,70,0.231671,53,0.0,8,0.0,10,0.368919,67,0.558344,47,0.0,47,0.0,50,0.0,10,0.368919,55,0.420117,77,0.606331,51,0.246653,93,0.0,99,0.0,66,0.0,4,0.444846,10,0.368919,65,0.557771,5,0.506045,65,0.557771,72,0.619629,94,0.0,7,0.0,83,0.085345,46,0.0,44,0.595148,10,0.368919,94,0.0,6,0.521209,64,0.427846,66,0.0,55,0.420117,94,0.0,66,0.0,47,0.0,83,0.085345
5,55,0.420117,70,0.231671,94,0.0,90,0.581536,12,0.0,81,0.544579,54,0.0,93,0.0,54,0.0,67,0.558344,50,0.0,0,0.13848,55,0.420117,65,0.557771,89,0.528122,9,0.142527,9,0.142527,47,0.0,61,0.0,68,0.553297,48,0.276438,78,0.590437,12,0.0,79,0.0,12,0.0,77,0.606331,2,0.23795,77,0.606331,12,0.0,2,0.23795,80,0.47378,9,0.142527,72,0.619629,83,0.085345,11,0.339554,54,0.0,87,0.218576,77,0.606331,48,0.276438,80,0.47378,0,0.13848,11,0.339554,70,0.231671,89,0.528122,7,0.0,48,0.276438,44,0.595148,77,0.606331,70,0.231671,9,0.142527
6,11,0.339554,6,0.521209,66,0.0,51,0.246653,77,0.606331,3,0.529015,66,0.0,84,0.397736,67,0.558344,12,0.0,84,0.397736,47,0.0,84,0.397736,93,0.0,50,0.0,0,0.13848,89,0.528122,83,0.085345,8,0.0,89,0.528122,68,0.553297,93,0.0,90,0.581536,68,0.553297,5,0.506045,45,0.456972,45,0.456972,47,0.0,48,0.276438,5,0.506045,11,0.339554,50,0.0,89,0.528122,5,0.506045,5,0.506045,97,0.394429,48,0.276438,52,0.225159,45,0.456972,64,0.427846,9,0.142527,99,0.0,8,0.0,46,0.0,70,0.231671,77,0.606331,89,0.528122,54,0.0,12,0.0,4,0.444846
7,4,0.444846,47,0.0,82,0.05735,83,0.085345,98,0.0,85,0.0,49,0.368797,7,0.0,94,0.0,87,0.218576,61,0.0,4,0.444846,5,0.506045,79,0.0,7,0.0,48,0.276438,54,0.0,44,0.595148,78,0.590437,78,0.590437,89,0.528122,81,0.544579,87,0.218576,65,0.557771,53,0.0,89,0.528122,4,0.444846,45,0.456972,64,0.427846,51,0.246653,81,0.544579,1,0.55386,65,0.557771,55,0.420117,44,0.595148,52,0.225159,79,0.0,93,0.0,66,0.0,12,0.0,90,0.581536,77,0.606331,94,0.0,5,0.506045,94,0.0,99,0.0,82,0.05735,2,0.23795,72,0.619629,50,0.0
8,70,0.231671,9,0.142527,50,0.0,97,0.394429,53,0.0,44,0.595148,52,0.225159,5,0.506045,66,0.0,9,0.142527,79,0.0,98,0.0,89,0.528122,47,0.0,97,0.394429,66,0.0,3,0.529015,78,0.590437,11,0.339554,8,0.0,65,0.557771,70,0.231671,66,0.0,45,0.456972,52,0.225159,90,0.581536,67,0.558344,0,0.13848,55,0.420117,61,0.0,94,0.0,7,0.0,82,0.05735,87,0.218576,54,0.0,79,0.0,11,0.339554,0,0.13848,99,0.0,84,0.397736,94,0.0,55,0.420117,9,0.142527,66,0.0,81,0.544579,10,0.368919,6,0.521209,78,0.590437,6,0.521209,53,0.0
9,54,0.0,80,0.47378,6,0.521209,79,0.0,81,0.544579,12,0.0,61,0.0,98,0.0,81,0.544579,55,0.420117,65,0.557771,53,0.0,1,0.55386,4,0.444846,55,0.420117,7,0.0,87,0.218576,1,0.55386,51,0.246653,10,0.368919,46,0.0,87,0.218576,51,0.246653,48,0.276438,48,0.276438,99,0.0,52,0.225159,79,0.0,89,0.528122,46,0.0,67,0.558344,83,0.085345,93,0.0,79,0.0,0,0.13848,1,0.55386,2,0.23795,44,0.595148,7,0.0,2,0.23795,79,0.0,79,0.0,78,0.590437,98,0.0,98,0.0,52,0.225159,47,0.0,55,0.420117,52,0.225159,82,0.05735
10,6,0.521209,69,0.655095,39,0.735191,88,0.64553,64,0.427846,62,0.6771,65,0.557771,68,0.553297,69,0.655095,91,0.625649,80,0.47378,13,0.936549,91,0.625649,88,0.64553,3,0.529015,6,0.521209,86,0.638409,16,0.88388,73,0.687847,96,0.641716,64,0.427846,73,0.687847,91,0.625649,71,0.669569,86,0.638409,80,0.47378,69,0.655095,69,0.655095,91,0.625649,6,0.521209,82,0.05735,64,0.427846,62,0.6771,71,0.669569,69,0.655095,19,0.869142,19,0.869142,65,0.557771,41,0.696129,74,0.658964,91,0.625649,69,0.655095,68,0.553297,63,0.673479,80,0.47378,86,0.638409,63,0.673479,76,0.645276,40,0.741053,69,0.655095
11,92,0.665694,68,0.553297,36,0.727446,86,0.638409,84,0.397736,45,0.456972,63,0.673479,19,0.869142,71,0.669569,95,0.649364,71,0.669569,18,0.932613,92,0.665694,71,0.669569,5,0.506045,87,0.218576,71,0.669569,14,0.901296,74,0.658964,97,0.394429,63,0.673479,76,0.645276,92,0.665694,76,0.645276,71,0.669569,64,0.427846,71,0.669569,71,0.669569,95,0.649364,59,0.65301,6,0.521209,19,0.869142,45,0.456972,69,0.655095,63,0.673479,17,0.902128,17,0.902128,37,0.760199,18,0.932613,90,0.581536,92,0.665694,67,0.558344,65,0.557771,16,0.88388,82,0.05735,91,0.625649,43,0.681477,75,0.644678,37,0.760199,71,0.669569
12,96,0.641716,67,0.558344,42,0.68768,80,0.47378,80,0.47378,63,0.673479,43,0.681477,17,0.902128,76,0.645276,96,0.641716,74,0.658964,16,0.88388,96,0.641716,76,0.645276,4,0.444846,44,0.595148,43,0.681477,13,0.936549,71,0.669569,95,0.649364,60,0.624609,74,0.658964,95,0.649364,73,0.687847,73,0.687847,88,0.64553,76,0.645276,73,0.687847,96,0.641716,63,0.673479,72,0.619629,17,0.902128,69,0.655095,76,0.645276,71,0.669569,18,0.932613,18,0.932613,35,0.775094,20,0.899917,73,0.687847,96,0.641716,71,0.669569,95,0.649364,41,0.696129,77,0.606331,80,0.47378,41,0.696129,74,0.658964,38,0.73516,74,0.658964
13,95,0.649364,71,0.669569,29,0.733492,76,0.645276,67,0.558344,69,0.655095,17,0.902128,18,0.932613,73,0.687847,74,0.658964,73,0.687847,58,0.829756,95,0.649364,73,0.687847,0,0.13848,40,0.741053,60,0.624609,20,0.899917,76,0.645276,91,0.625649,69,0.655095,71,0.669569,96,0.641716,74,0.658964,74,0.658964,71,0.669569,73,0.687847,74,0.658964,92,0.665694,41,0.696129,62,0.6771,18,0.932613,71,0.669569,73,0.687847,60,0.624609,15,0.92212,16,0.88388,31,0.746997,19,0.869142,76,0.645276,95,0.649364,72,0.619629,96,0.641716,18,0.932613,71,0.669569,89,0.528122,45,0.456972,73,0.687847,34,0.757861,75,0.644678
14,91,0.625649,73,0.687847,31,0.746997,71,0.669569,72,0.619629,65,0.557771,18,0.932613,13,0.936549,74,0.658964,73,0.687847,75,0.644678,15,0.92212,90,0.581536,74,0.658964,19,0.869142,35,0.775094,69,0.655095,21,0.904846,69,0.655095,92,0.665694,71,0.669569,86,0.638409,78,0.590437,75,0.644678,76,0.645276,69,0.655095,74,0.658964,76,0.645276,90,0.581536,30,0.691636,69,0.655095,21,0.904846,74,0.658964,74,0.658964,62,0.6771,14,0.901296,15,0.92212,34,0.757861,13,0.936549,62,0.6771,93,0.0,73,0.687847,92,0.665694,58,0.829756,73,0.687847,95,0.649364,30,0.691636,71,0.669569,31,0.746997,76,0.645276
15,86,0.638409,74,0.658964,34,0.757861,69,0.655095,90,0.581536,59,0.65301,14,0.901296,21,0.904846,75,0.644678,62,0.6771,69,0.655095,14,0.901296,74,0.658964,80,0.47378,20,0.899917,31,0.746997,19,0.869142,15,0.92212,75,0.644678,74,0.658964,62,0.6771,51,0.246653,4,0.444846,69,0.655095,69,0.655095,72,0.619629,75,0.644678,75,0.644678,86,0.638409,43,0.681477,45,0.456972,13,0.936549,75,0.644678,75,0.644678,45,0.456972,13,0.936549,21,0.904846,39,0.735191,14,0.901296,45,0.456972,86,0.638409,74,0.658964,91,0.625649,19,0.869142,74,0.658964,96,0.641716,18,0.932613,69,0.655095,28,0.797176,73,0.687847
16,76,0.645276,76,0.645276,28,0.797176,72,0.619629,75,0.644678,71,0.669569,13,0.936549,14,0.901296,72,0.619629,69,0.655095,68,0.553297,30,0.691636,73,0.687847,69,0.655095,22,0.820774,34,0.757861,65,0.557771,18,0.932613,62,0.6771,75,0.644678,45,0.456972,77,0.606331,76,0.645276,72,0.619629,64,0.427846,76,0.645276,64,0.427846,72,0.619629,88,0.64553,16,0.88388,71,0.669569,15,0.92212,76,0.645276,92,0.665694,59,0.65301,16,0.88388,14,0.901296,33,0.725884,15,0.92212,72,0.619629,80,0.47378,76,0.645276,90,0.581536,17,0.902128,76,0.645276,92,0.665694,58,0.829756,72,0.619629,27,0.825486,72,0.619629
17,78,0.590437,75,0.644678,27,0.825486,73,0.687847,92,0.665694,73,0.687847,15,0.92212,15,0.92212,77,0.606331,76,0.645276,76,0.645276,21,0.904846,76,0.645276,62,0.6771,17,0.902128,38,0.73516,17,0.902128,17,0.902128,63,0.673479,93,0.0,73,0.687847,91,0.625649,73,0.687847,88,0.64553,75,0.644678,73,0.687847,62,0.6771,62,0.6771,76,0.645276,18,0.932613,76,0.645276,14,0.901296,73,0.687847,88,0.64553,76,0.645276,20,0.899917,13,0.936549,29,0.733492,21,0.904846,71,0.669569,88,0.64553,75,0.644678,86,0.638409,43,0.681477,75,0.644678,76,0.645276,13,0.936549,68,0.553297,23,0.87748,62,0.6771
18,73,0.687847,78,0.590437,26,0.839722,91,0.625649,96,0.641716,74,0.658964,21,0.904846,16,0.88388,88,0.64553,45,0.456972,72,0.619629,20,0.899917,71,0.669569,72,0.619629,18,0.932613,33,0.725884,18,0.932613,19,0.869142,65,0.557771,73,0.687847,74,0.658964,95,0.649364,71,0.669569,92,0.665694,80,0.47378,74,0.658964,63,0.673479,68,0.553297,74,0.658964,17,0.902128,74,0.658964,16,0.88388,88,0.64553,96,0.641716,73,0.687847,21,0.904846,20,0.899917,38,0.73516,16,0.88388,69,0.655095,76,0.645276,78,0.590437,88,0.64553,15,0.92212,69,0.655095,73,0.687847,15,0.92212,62,0.6771,21,0.904846,68,0.553297
19,74,0.658964,64,0.427846,24,0.857797,74,0.658964,95,0.649364,76,0.645276,16,0.88388,20,0.899917,92,0.665694,71,0.669569,64,0.427846,17,0.902128,69,0.655095,45,0.456972,21,0.904846,39,0.735191,16,0.88388,3,0.529015,59,0.65301,76,0.645276,76,0.645276,96,0.641716,74,0.658964,96,0.641716,91,0.625649,75,0.644678,59,0.65301,86,0.638409,73,0.687847,19,0.869142,75,0.644678,20,0.899917,92,0.665694,90,0.581536,74,0.658964,22,0.820774,23,0.87748,57,0.65512,17,0.902128,63,0.673479,74,0.658964,64,0.427846,80,0.47378,14,0.901296,72,0.619629,74,0.658964,14,0.901296,67,0.558344,13,0.936549,63,0.673479
20,71,0.669569,16,0.88388,23,0.87748,92,0.665694,74,0.658964,75,0.644678,20,0.899917,58,0.829756,96,0.641716,75,0.644678,78,0.590437,19,0.869142,75,0.644678,75,0.644678,13,0.936549,29,0.733492,15,0.92212,58,0.829756,57,0.65512,71,0.669569,72,0.619629,92,0.665694,69,0.655095,91,0.625649,72,0.619629,92,0.665694,57,0.65512,91,0.625649,71,0.669569,58,0.829756,73,0.687847,23,0.87748,96,0.641716,86,0.638409,49,0.368797,23,0.87748,22,0.820774,28,0.797176,58,0.829756,59,0.65301,73,0.687847,81,0.544579,76,0.645276,13,0.936549,68,0.553297,71,0.669569,17,0.902128,86,0.638409,14,0.901296,59,0.65301
21,75,0.644678,63,0.673479,14,0.901296,96,0.641716,76,0.645276,49,0.368797,58,0.829756,23,0.87748,86,0.638409,86,0.638409,92,0.665694,23,0.87748,51,0.246653,92,0.665694,15,0.92212,28,0.797176,14,0.901296,23,0.87748,72,0.619629,69,0.655095,59,0.65301,75,0.644678,64,0.427846,90,0.581536,95,0.649364,96,0.641716,40,0.741053,95,0.649364,69,0.655095,15,0.92212,88,0.64553,22,0.820774,86,0.638409,95,0.649364,57,0.65512,24,0.857797,24,0.857797,27,0.825486,3,0.529015,67,0.558344,71,0.669569,82,0.05735,73,0.687847,21,0.904846,64,0.427846,75,0.644678,21,0.904846,91,0.625649,15,0.92212,60,0.624609
22,69,0.655095,43,0.681477,15,0.92212,95,0.649364,73,0.687847,57,0.65512,19,0.869142,24,0.857797,91,0.625649,92,0.665694,96,0.641716,22,0.820774,64,0.427846,96,0.641716,14,0.901296,27,0.825486,13,0.936549,24,0.857797,48,0.276438,45,0.456972,57,0.65512,88,0.64553,68,0.553297,95,0.649364,96,0.641716,95,0.649364,44,0.595148,96,0.641716,45,0.456972,14,0.901296,92,0.665694,24,0.857797,80,0.47378,91,0.625649,29,0.733492,25,0.832971,30,0.691636,24,0.857797,23,0.87748,57,0.65512,69,0.655095,84,0.397736,74,0.658964,20,0.899917,78,0.590437,90,0.581536,20,0.899917,95,0.649364,18,0.932613,49,0.368797
23,77,0.606331,41,0.696129,16,0.88388,75,0.644678,91,0.625649,56,0.699507,23,0.87748,25,0.832971,90,0.581536,88,0.64553,62,0.6771,24,0.857797,72,0.619629,95,0.649364,16,0.88388,26,0.839722,20,0.899917,25,0.832971,37,0.760199,86,0.638409,34,0.757861,90,0.581536,72,0.619629,86,0.638409,92,0.665694,91,0.625649,37,0.760199,92,0.665694,75,0.644678,13,0.936549,96,0.641716,58,0.829756,91,0.625649,80,0.47378,36,0.727446,26,0.839722,58,0.829756,23,0.87748,24,0.857797,91,0.625649,75,0.644678,83,0.085345,72,0.619629,23,0.87748,88,0.64553,69,0.655095,16,0.88388,96,0.641716,20,0.899917,58,0.829756
24,88,0.64553,30,0.691636,13,0.936549,78,0.590437,78,0.590437,5,0.506045,24,0.857797,3,0.529015,95,0.649364,80,0.47378,45,0.456972,25,0.832971,62,0.6771,91,0.625649,23,0.87748,25,0.832971,21,0.904846,22,0.820774,40,0.741053,88,0.64553,31,0.746997,80,0.47378,75,0.644678,80,0.47378,89,0.528122,86,0.638409,35,0.775094,88,0.64553,72,0.619629,21,0.904846,90,0.581536,3,0.529015,90,0.581536,62,0.6771,42,0.68768,58,0.829756,25,0.832971,14,0.901296,22,0.820774,86,0.638409,72,0.619629,88,0.64553,75,0.644678,22,0.820774,92,0.665694,72,0.619629,19,0.869142,92,0.665694,16,0.88388,18,0.932613
25,80,0.47378,59,0.65301,21,0.904846,67,0.558344,88,0.64553,29,0.733492,25,0.832971,22,0.820774,80,0.47378,72,0.619629,95,0.649364,26,0.839722,45,0.456972,86,0.638409,58,0.829756,23,0.87748,58,0.829756,26,0.839722,44,0.595148,90,0.581536,33,0.725884,69,0.655095,62,0.6771,78,0.590437,78,0.590437,62,0.6771,38,0.73516,80,0.47378,62,0.6771,20,0.899917,95,0.649364,25,0.832971,95,0.649364,45,0.456972,39,0.735191,27,0.825486,26,0.839722,15,0.92212,25,0.832971,89,0.528122,62,0.6771,92,0.665694,71,0.669569,24,0.857797,91,0.625649,64,0.427846,23,0.87748,88,0.64553,19,0.869142,19,0.869142
26,72,0.619629,62,0.6771,18,0.932613,62,0.6771,71,0.669569,36,0.727446,26,0.839722,26,0.839722,78,0.590437,90,0.581536,91,0.625649,27,0.825486,63,0.673479,63,0.673479,24,0.857797,24,0.857797,23,0.87748,27,0.825486,35,0.775094,80,0.47378,32,0.724231,72,0.619629,45,0.456972,89,0.528122,88,0.64553,63,0.673479,34,0.757861,90,0.581536,67,0.558344,23,0.87748,91,0.625649,30,0.691636,63,0.673479,67,0.558344,31,0.746997,28,0.797176,27,0.825486,13,0.936549,26,0.839722,40,0.741053,6,0.521209,96,0.641716,69,0.655095,25,0.832971,90,0.581536,67,0.558344,22,0.820774,90,0.581536,30,0.691636,17,0.902128
27,68,0.553297,45,0.456972,17,0.902128,45,0.456972,69,0.655095,42,0.68768,27,0.825486,27,0.825486,64,0.427846,63,0.673479,86,0.638409,28,0.797176,68,0.553297,59,0.65301,25,0.832971,13,0.936549,24,0.857797,30,0.691636,34,0.757861,72,0.619629,38,0.73516,64,0.427846,88,0.64553,62,0.6771,62,0.6771,59,0.65301,31,0.746997,78,0.590437,68,0.553297,24,0.857797,86,0.638409,26,0.839722,59,0.65301,78,0.590437,33,0.725884,11,0.339554,28,0.797176,16,0.88388,27,0.825486,37,0.760199,67,0.558344,91,0.625649,67,0.558344,26,0.839722,96,0.641716,88,0.64553,24,0.857797,80,0.47378,17,0.902128,16,0.88388
